circuit_name,stage,device_id,depth,two_qubit_depth,two_qubit_gate_count,active_qubits,mapped_physical_qubits,estimated_fidelity,estimated_survival_rate,estimated_cost_usd,analytics_source,circuit_kind,benchmark_variant
diag_1q_q0_f0,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f1,original,fake_fez,5,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f2,original,fake_fez,3,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f3,original,fake_fez,5,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f4,original,fake_fez,6,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f5,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f6,original,fake_fez,5,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f7,original,fake_fez,6,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f8,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f9,original,fake_fez,5,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f10,original,fake_fez,6,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f11,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f12,original,fake_fez,3,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f13,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f14,original,fake_fez,2,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f15,original,fake_fez,4,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f16,original,fake_fez,5,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q0_f17,original,fake_fez,3,0,0,1,[0],,,,local_qiskit,diagnostic,
diag_1q_q1_f0,original,fake_fez,4,0,0,1,[1],,,,local_qiskit,diagnostic,
diag_1q_q1_f1,original,fake_fez,5,0,0,1,[1],,,,local_qiskit,diagnostic,
diag_1q_q1_f2,original,fake_fez,3,0,0,1,[1],,,,local_qiskit,diagnostic,
diag_1q_q1_f3,original,fake_fez,5,0,0,1,[1],,,,local_qiskit,diagnostic,
diag_1q_q1_f4,original,fake_fez,6,0,0,1,[1],,,,local_qiskit,diagnostic,
