circuit_name,channel_key,gate_name,physical_qubits,probe_state,measurement_basis,feature_index,calibration_round
diag_1q_q0_f0,q0,id,[0],X+,X,0,0
diag_1q_q0_f1,q0,id,[0],X+,Y,1,0
diag_1q_q0_f2,q0,id,[0],X+,Z,2,0
diag_1q_q0_f3,q0,id,[0],X-,X,3,0
diag_1q_q0_f4,q0,id,[0],X-,Y,4,0
diag_1q_q0_f5,q0,id,[0],X-,Z,5,0
diag_1q_q0_f6,q0,id,[0],Y+,X,6,0
diag_1q_q0_f7,q0,id,[0],Y+,Y,7,0
diag_1q_q0_f8,q0,id,[0],Y+,Z,8,0
diag_1q_q0_f9,q0,id,[0],Y-,X,9,0
diag_1q_q0_f10,q0,id,[0],Y-,Y,10,0
diag_1q_q0_f11,q0,id,[0],Y-,Z,11,0
diag_1q_q0_f12,q0,id,[0],Z+,X,12,0
diag_1q_q0_f13,q0,id,[0],Z+,Y,13,0
diag_1q_q0_f14,q0,id,[0],Z+,Z,14,0
diag_1q_q0_f15,q0,id,[0],Z-,X,15,0
diag_1q_q0_f16,q0,id,[0],Z-,Y,16,0
diag_1q_q0_f17,q0,id,[0],Z-,Z,17,0
diag_1q_q1_f0,q1,id,[1],X+,X,0,0
diag_1q_q1_f1,q1,id,[1],X+,Y,1,0
diag_1q_q1_f2,q1,id,[1],X+,Z,2,0
diag_1q_q1_f3,q1,id,[1],X-,X,3,0
diag_1q_q1_f4,q1,id,[1],X-,Y,4,0
diag_1q_q1_f5,q1,id,[1],X-,Z,5,0
diag_1q_q1_f6,q1,id,[1],Y+,X,6,0
diag_1q_q1_f7,q1,id,[1],Y+,Y,7,0
diag_1q_q1_f8,q1,id,[1],Y+,Z,8,0
diag_1q_q1_f9,q1,id,[1],Y-,X,9,0
diag_1q_q1_f10,q1,id,[1],Y-,Y,10,0
diag_1q_q1_f11,q1,id,[1],Y-,Z,11,0
diag_1q_q1_f12,q1,id,[1],Z+,X,12,0
diag_1q_q1_f13,q1,id,[1],Z+,Y,13,0
diag_1q_q1_f14,q1,id,[1],Z+,Z,14,0
diag_1q_q1_f15,q1,id,[1],Z-,X,15,0
diag_1q_q1_f16,q1,id,[1],Z-,Y,16,0
diag_1q_q1_f17,q1,id,[1],Z-,Z,17,0
diag_1q_q2_f0,q2,id,[2],X+,X,0,0
diag_1q_q2_f1,q2,id,[2],X+,Y,1,0
diag_1q_q2_f2,q2,id,[2],X+,Z,2,0
diag_1q_q2_f3,q2,id,[2],X-,X,3,0
diag_1q_q2_f4,q2,id,[2],X-,Y,4,0
diag_1q_q2_f5,q2,id,[2],X-,Z,5,0
diag_1q_q2_f6,q2,id,[2],Y+,X,6,0
diag_1q_q2_f7,q2,id,[2],Y+,Y,7,0
diag_1q_q2_f8,q2,id,[2],Y+,Z,8,0
diag_1q_q2_f9,q2,id,[2],Y-,X,9,0
diag_1q_q2_f10,q2,id,[2],Y-,Y,10,0
diag_1q_q2_f11,q2,id,[2],Y-,Z,11,0
diag_1q_q2_f12,q2,id,[2],Z+,X,12,0
diag_1q_q2_f13,q2,id,[2],Z+,Y,13,0
diag_1q_q2_f14,q2,id,[2],Z+,Z,14,0
diag_1q_q2_f15,q2,id,[2],Z-,X,15,0
diag_1q_q2_f16,q2,id,[2],Z-,Y,16,0
diag_1q_q2_f17,q2,id,[2],Z-,Z,17,0
diag_1q_q3_f0,q3,id,[3],X+,X,0,0
diag_1q_q3_f1,q3,id,[3],X+,Y,1,0
diag_1q_q3_f2,q3,id,[3],X+,Z,2,0
diag_1q_q3_f3,q3,id,[3],X-,X,3,0
diag_1q_q3_f4,q3,id,[3],X-,Y,4,0
diag_1q_q3_f5,q3,id,[3],X-,Z,5,0
diag_1q_q3_f6,q3,id,[3],Y+,X,6,0
diag_1q_q3_f7,q3,id,[3],Y+,Y,7,0
diag_1q_q3_f8,q3,id,[3],Y+,Z,8,0
diag_1q_q3_f9,q3,id,[3],Y-,X,9,0
diag_1q_q3_f10,q3,id,[3],Y-,Y,10,0
diag_1q_q3_f11,q3,id,[3],Y-,Z,11,0
