mode,channel_key,feature_index,feature_label,expectation,shots_or_weight,distribution,raw_distribution,readout_corrected,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1
ideal,q0,0,X+->X,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q0,1,X+->Y,0.0078125,256.0,"{'00000': 129, '00001': 127}","{'00000': 129, '00001': 127}",False,,,,,
ideal,q0,2,X+->Z,-0.0390625,256.0,"{'00000': 123, '00001': 133}","{'00000': 123, '00001': 133}",False,,,,,
ideal,q0,3,X-->X,-1.0,256.0,{'00001': 256},{'00001': 256},False,,,,,
ideal,q0,4,X-->Y,-0.0390625,256.0,"{'00000': 123, '00001': 133}","{'00000': 123, '00001': 133}",False,,,,,
ideal,q0,5,X-->Z,-0.0546875,256.0,"{'00000': 121, '00001': 135}","{'00000': 121, '00001': 135}",False,,,,,
ideal,q0,6,Y+->X,0.015625,256.0,"{'00001': 126, '00000': 130}","{'00001': 126, '00000': 130}",False,,,,,
ideal,q0,7,Y+->Y,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q0,8,Y+->Z,-0.03125,256.0,"{'00001': 132, '00000': 124}","{'00001': 132, '00000': 124}",False,,,,,
ideal,q0,9,Y-->X,0.0859375,256.0,"{'00000': 139, '00001': 117}","{'00000': 139, '00001': 117}",False,,,,,
ideal,q0,10,Y-->Y,-1.0,256.0,{'00001': 256},{'00001': 256},False,,,,,
ideal,q0,11,Y-->Z,-0.09375,256.0,"{'00000': 116, '00001': 140}","{'00000': 116, '00001': 140}",False,,,,,
ideal,q0,12,Z+->X,-0.0859375,256.0,"{'00000': 117, '00001': 139}","{'00000': 117, '00001': 139}",False,,,,,
ideal,q0,13,Z+->Y,0.0234375,256.0,"{'00000': 131, '00001': 125}","{'00000': 131, '00001': 125}",False,,,,,
ideal,q0,14,Z+->Z,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q0,15,Z-->X,-0.015625,256.0,"{'00001': 130, '00000': 126}","{'00001': 130, '00000': 126}",False,,,,,
ideal,q0,16,Z-->Y,0.046875,256.0,"{'00001': 122, '00000': 134}","{'00001': 122, '00000': 134}",False,,,,,
ideal,q0,17,Z-->Z,-1.0,256.0,{'00001': 256},{'00001': 256},False,,,,,
ideal,q1,0,X+->X,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1,1,X+->Y,-0.0078125,256.0,"{'00010': 129, '00000': 127}","{'00010': 129, '00000': 127}",False,,,,,
ideal,q1,2,X+->Z,0.0390625,256.0,"{'00000': 133, '00010': 123}","{'00000': 133, '00010': 123}",False,,,,,
ideal,q1,3,X-->X,-1.0,256.0,{'00010': 256},{'00010': 256},False,,,,,
ideal,q1,4,X-->Y,-0.015625,256.0,"{'00000': 126, '00010': 130}","{'00000': 126, '00010': 130}",False,,,,,
ideal,q1,5,X-->Z,0.0625,256.0,"{'00010': 120, '00000': 136}","{'00010': 120, '00000': 136}",False,,,,,
ideal,q1,6,Y+->X,0.0078125,256.0,"{'00010': 127, '00000': 129}","{'00010': 127, '00000': 129}",False,,,,,
ideal,q1,7,Y+->Y,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1,8,Y+->Z,-0.09375,256.0,"{'00010': 140, '00000': 116}","{'00010': 140, '00000': 116}",False,,,,,
ideal,q1,9,Y-->X,0.0078125,256.0,"{'00000': 129, '00010': 127}","{'00000': 129, '00010': 127}",False,,,,,
ideal,q1,10,Y-->Y,-1.0,256.0,{'00010': 256},{'00010': 256},False,,,,,
ideal,q1,11,Y-->Z,-0.0078125,256.0,"{'00000': 127, '00010': 129}","{'00000': 127, '00010': 129}",False,,,,,
ideal,q1,12,Z+->X,-0.0625,256.0,"{'00010': 136, '00000': 120}","{'00010': 136, '00000': 120}",False,,,,,
ideal,q1,13,Z+->Y,-0.03125,256.0,"{'00010': 132, '00000': 124}","{'00010': 132, '00000': 124}",False,,,,,
ideal,q1,14,Z+->Z,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1,15,Z-->X,-0.09375,256.0,"{'00000': 116, '00010': 140}","{'00000': 116, '00010': 140}",False,,,,,
ideal,q1,16,Z-->Y,-0.03125,256.0,"{'00010': 132, '00000': 124}","{'00010': 132, '00000': 124}",False,,,,,
ideal,q1,17,Z-->Z,-1.0,256.0,{'00010': 256},{'00010': 256},False,,,,,
ideal,q2,0,X+->X,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q2,1,X+->Y,0.0,256.0,"{'00100': 128, '00000': 128}","{'00100': 128, '00000': 128}",False,,,,,
ideal,q2,2,X+->Z,0.0234375,256.0,"{'00100': 125, '00000': 131}","{'00100': 125, '00000': 131}",False,,,,,
ideal,q2,3,X-->X,-1.0,256.0,{'00100': 256},{'00100': 256},False,,,,,
ideal,q2,4,X-->Y,0.03125,256.0,"{'00100': 124, '00000': 132}","{'00100': 124, '00000': 132}",False,,,,,
ideal,q2,5,X-->Z,0.046875,256.0,"{'00100': 122, '00000': 134}","{'00100': 122, '00000': 134}",False,,,,,
ideal,q2,6,Y+->X,0.03125,256.0,"{'00000': 132, '00100': 124}","{'00000': 132, '00100': 124}",False,,,,,
ideal,q2,7,Y+->Y,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q2,8,Y+->Z,-0.015625,256.0,"{'00000': 126, '00100': 130}","{'00000': 126, '00100': 130}",False,,,,,
ideal,q2,9,Y-->X,-0.046875,256.0,"{'00000': 122, '00100': 134}","{'00000': 122, '00100': 134}",False,,,,,
ideal,q2,10,Y-->Y,-1.0,256.0,{'00100': 256},{'00100': 256},False,,,,,
ideal,q2,11,Y-->Z,-0.1328125,256.0,"{'00100': 145, '00000': 111}","{'00100': 145, '00000': 111}",False,,,,,
ideal,q2,12,Z+->X,0.015625,256.0,"{'00100': 126, '00000': 130}","{'00100': 126, '00000': 130}",False,,,,,
ideal,q2,13,Z+->Y,0.109375,256.0,"{'00000': 142, '00100': 114}","{'00000': 142, '00100': 114}",False,,,,,
ideal,q2,14,Z+->Z,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q2,15,Z-->X,-0.015625,256.0,"{'00100': 130, '00000': 126}","{'00100': 130, '00000': 126}",False,,,,,
ideal,q2,16,Z-->Y,-0.1171875,256.0,"{'00000': 113, '00100': 143}","{'00000': 113, '00100': 143}",False,,,,,
ideal,q2,17,Z-->Z,-1.0,256.0,{'00100': 256},{'00100': 256},False,,,,,
ideal,q3,0,X+->X,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q3,1,X+->Y,-0.1015625,256.0,"{'00000': 115, '01000': 141}","{'00000': 115, '01000': 141}",False,,,,,
ideal,q3,2,X+->Z,-0.078125,256.0,"{'01000': 138, '00000': 118}","{'01000': 138, '00000': 118}",False,,,,,
ideal,q3,3,X-->X,-1.0,256.0,{'01000': 256},{'01000': 256},False,,,,,
ideal,q3,4,X-->Y,0.03125,256.0,"{'00000': 132, '01000': 124}","{'00000': 132, '01000': 124}",False,,,,,
ideal,q3,5,X-->Z,-0.0625,256.0,"{'01000': 136, '00000': 120}","{'01000': 136, '00000': 120}",False,,,,,
ideal,q3,6,Y+->X,-0.015625,256.0,"{'00000': 126, '01000': 130}","{'00000': 126, '01000': 130}",False,,,,,
ideal,q3,7,Y+->Y,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q3,8,Y+->Z,-0.0625,256.0,"{'00000': 120, '01000': 136}","{'00000': 120, '01000': 136}",False,,,,,
ideal,q3,9,Y-->X,0.015625,256.0,"{'00000': 130, '01000': 126}","{'00000': 130, '01000': 126}",False,,,,,
ideal,q3,10,Y-->Y,-1.0,256.0,{'01000': 256},{'01000': 256},False,,,,,
ideal,q3,11,Y-->Z,0.015625,256.0,"{'00000': 130, '01000': 126}","{'00000': 130, '01000': 126}",False,,,,,
ideal,q3,12,Z+->X,0.0546875,256.0,"{'01000': 121, '00000': 135}","{'01000': 121, '00000': 135}",False,,,,,
ideal,q3,13,Z+->Y,-0.0078125,256.0,"{'00000': 127, '01000': 129}","{'00000': 127, '01000': 129}",False,,,,,
ideal,q3,14,Z+->Z,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q3,15,Z-->X,-0.0234375,256.0,"{'00000': 125, '01000': 131}","{'00000': 125, '01000': 131}",False,,,,,
ideal,q3,16,Z-->Y,0.1171875,256.0,"{'01000': 113, '00000': 143}","{'01000': 113, '00000': 143}",False,,,,,
ideal,q3,17,Z-->Z,-1.0,256.0,{'01000': 256},{'01000': 256},False,,,,,
ideal,q4,0,X+->X,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q4,1,X+->Y,-0.0546875,256.0,"{'00000': 121, '10000': 135}","{'00000': 121, '10000': 135}",False,,,,,
ideal,q4,2,X+->Z,-0.046875,256.0,"{'00000': 122, '10000': 134}","{'00000': 122, '10000': 134}",False,,,,,
ideal,q4,3,X-->X,-1.0,256.0,{'10000': 256},{'10000': 256},False,,,,,
ideal,q4,4,X-->Y,0.03125,256.0,"{'00000': 132, '10000': 124}","{'00000': 132, '10000': 124}",False,,,,,
ideal,q4,5,X-->Z,0.046875,256.0,"{'10000': 122, '00000': 134}","{'10000': 122, '00000': 134}",False,,,,,
ideal,q4,6,Y+->X,0.0546875,256.0,"{'10000': 121, '00000': 135}","{'10000': 121, '00000': 135}",False,,,,,
ideal,q4,7,Y+->Y,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q4,8,Y+->Z,0.0078125,256.0,"{'10000': 127, '00000': 129}","{'10000': 127, '00000': 129}",False,,,,,
ideal,q4,9,Y-->X,-0.109375,256.0,"{'10000': 142, '00000': 114}","{'10000': 142, '00000': 114}",False,,,,,
ideal,q4,10,Y-->Y,-1.0,256.0,{'10000': 256},{'10000': 256},False,,,,,
ideal,q4,11,Y-->Z,0.0078125,256.0,"{'00000': 129, '10000': 127}","{'00000': 129, '10000': 127}",False,,,,,
ideal,q4,12,Z+->X,0.0234375,256.0,"{'10000': 125, '00000': 131}","{'10000': 125, '00000': 131}",False,,,,,
