assignment_type,calibration_key,physical_qubits,prepared_state,measured_state,probability,condition_number,mean_assignment_fidelity,inverse_overhead_l1,validation_passed,shots
single_qubit,q0,[0],0,0,0.9921875,1.012503106745506,0.994140625,1.0158092326690087,True,256
single_qubit,q0,[0],0,1,0.0078125,1.012503106745506,0.994140625,1.0158092326690087,True,256
single_qubit,q0,[0],1,0,0.00390625,1.012503106745506,0.994140625,1.0158092326690087,True,256
single_qubit,q0,[0],1,1,0.99609375,1.012503106745506,0.994140625,1.0158092326690087,True,256
single_qubit,q1,[1],0,0,0.9921875,1.025314453048712,0.98828125,1.0319989098046713,True,256
single_qubit,q1,[1],0,1,0.0078125,1.025314453048712,0.98828125,1.0319989098046713,True,256
single_qubit,q1,[1],1,0,0.015625,1.025314453048712,0.98828125,1.0319989098046713,True,256
single_qubit,q1,[1],1,1,0.984375,1.025314453048712,0.98828125,1.0319989098046713,True,256
single_qubit,q2,[2],0,0,0.99609375,1.005550432859543,0.998046875,1.0078421175555774,True,256
single_qubit,q2,[2],0,1,0.00390625,1.005550432859543,0.998046875,1.0078421175555774,True,256
single_qubit,q2,[2],1,0,0.0,1.005550432859543,0.998046875,1.0078421175555774,True,256
single_qubit,q2,[2],1,1,1.0,1.005550432859543,0.998046875,1.0078421175555774,True,256
single_qubit,q3,[3],0,0,0.984375,1.0414718005361046,0.98046875,1.0487793438264639,True,256
single_qubit,q3,[3],0,1,0.015625,1.0414718005361046,0.98046875,1.0487793438264639,True,256
single_qubit,q3,[3],1,0,0.0234375,1.0414718005361046,0.98046875,1.0487793438264639,True,256
single_qubit,q3,[3],1,1,0.9765625,1.0414718005361046,0.98046875,1.0487793438264639,True,256
single_qubit,q4,[4],0,0,1.0,1.0111536426969197,0.99609375,1.0157469917530948,True,256
single_qubit,q4,[4],0,1,0.0,1.0111536426969197,0.99609375,1.0157469917530948,True,256
single_qubit,q4,[4],1,0,0.0078125,1.0111536426969197,0.99609375,1.0157469917530948,True,256
single_qubit,q4,[4],1,1,0.9921875,1.0111536426969197,0.99609375,1.0157469917530948,True,256
two_qubit,q0-q1,"[0, 1]",00,00,0.98046875,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",00,01,0.0078125,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",00,10,0.01171875,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",00,11,0.0,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",01,00,0.01953125,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",01,01,0.96875,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",01,10,0.0,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",01,11,0.01171875,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",10,00,0.02734375,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",10,01,0.0,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",10,10,0.9609375,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",10,11,0.01171875,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",11,00,0.0,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",11,01,0.0,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",11,10,0.015625,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q0-q1,"[0, 1]",11,11,0.984375,1.0631022870543168,0.9736328125,1.082879523969164,True,256
two_qubit,q1-q2,"[1, 2]",00,00,0.984375,1.0363487486086074,0.9833984375,1.0404520489858942,True,256
two_qubit,q1-q2,"[1, 2]",00,01,0.015625,1.0363487486086074,0.9833984375,1.0404520489858942,True,256
two_qubit,q1-q2,"[1, 2]",00,10,0.0,1.0363487486086074,0.9833984375,1.0404520489858942,True,256
two_qubit,q1-q2,"[1, 2]",00,11,0.0,1.0363487486086074,0.9833984375,1.0404520489858942,True,256
