track,family,model_kind,inference_backend,status,dataset,sample_index,alpha_mae,gamma_mae,true_alpha,predicted_alpha,true_gamma,predicted_gamma,model_source,kappa_mae
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,0,0.01364990658851143,0.003120285841569271,"[-0.10058986395597458, 0.11581959575414658, -0.06238973140716553]","[-0.07694869921955456, 0.10644523055015045, -0.05445554158204737]","[0.009103495627641678, 0.020915277302265167, 0.01986890286207199]","[0.015834800037682333, 0.018500026859742842, 0.01965460018992716]",artifact:ridge_1q_256.npz,0.006181337216693769
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,1,0.020889217379638014,0.00786145747595104,"[0.07425586134195328, -0.09378113597631454, 0.048400990664958954]","[0.10755932296392948, -0.09654374980614207, 0.021799413977848632]","[0.009880861267447472, 0.028978321701288223, 0.010280145332217216]","[0.004296500287707436, 0.0154853692526723, 0.014787204331714373]",artifact:ridge_1q_256.npz,0.016760586422180344
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,2,0.017327915506122088,0.0014741657761366829,"[-0.0036983864847570658, 0.010575343854725361, -0.10094919055700302]","[0.0016635989166766882, 0.007077306166634233, -0.1440729139858444]","[0.014855475164949894, 0.01788671687245369, 0.007759765721857548]","[0.011408558303985673, 0.016918179713947868, 0.007752722412917542]",artifact:ridge_1q_256.npz,0.01755529251487295
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,3,0.013203048011719525,0.0033692966597536358,"[0.1040920838713646, -0.04036077857017517, -0.05739728361368179]","[0.09478050805834345, -0.05067289007377046, -0.037411826895139645]","[0.022521596401929855, 0.02001991868019104, 0.012414646334946156]","[0.01791215397041414, 0.021083439178856585, 0.016849573384025804]",artifact:ridge_1q_256.npz,0.006058794432332412
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,4,0.040026082795055797,0.007427842810728329,"[0.09545112401247025, 0.1200079470872879, -0.07035673409700394]","[0.05866902629949255, 0.08632544119097893, -0.020743089321123204]","[0.001641442533582449, 0.023818520829081535, 0.027095839381217957]","[0.015510124080275219, 0.02015902584821159, 0.022340487476595686]",artifact:ridge_1q_256.npz,0.007657111465091026
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,5,0.039430010446826196,0.007588439843996248,"[0.1403583139181137, 0.04459797963500023, 0.02650619111955166]","[0.06001945704117619, 0.06265961055592978, 0.006616647576940138]","[0.028883924707770348, 0.010474312119185925, 0.0016712959622964263]","[0.018766474907231302, 0.013370703527415402, 0.011422774285516649]",artifact:ridge_1q_256.npz,0.01385118341229875
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,6,0.020962604326070024,0.004914789841223875,"[-0.07667708396911621, 0.04293917492032051, 0.10797186940908432]","[-0.05760148857901573, 0.012644698396813257, 0.09445412834448198]","[0.019076870754361153, 0.012055343948304653, 0.02508831024169922]","[0.01037047885564208, 0.009653234247928175, 0.021452442317123142]",artifact:ridge_1q_256.npz,0.005479734032092433
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,7,0.03514690763559825,0.006447946021693109,"[0.12810257077217102, 0.1047593504190445, 0.127885639667511]","[0.14086482536023154, 0.08479440814735607, 0.055172113620465174]","[0.027642646804451942, 0.011289934627711773, 0.020955143496394157]","[0.01855229712863226, 0.014954555198947402, 0.014366275678370143]",artifact:ridge_1q_256.npz,0.020512741239833578
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,8,0.02998546018493557,0.005272074453236894,"[0.052896127104759216, 0.06292270123958588, -0.14785484969615936]","[0.02823283901519255, 0.057227215820068324, -0.08825724265043687]","[0.0022607215214520693, 0.014927688986063004, 0.012220937758684158]","[0.011105088041243452, 0.01944027033480049, 0.014680213249865973]",artifact:ridge_1q_256.npz,0.016612051763614265
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,9,0.007975484812572462,0.004272309294578134,"[0.05072183534502983, 0.0018786180298775434, -0.004296531435102224]","[0.052702511486981005, 0.017201144948182208, -0.010919782812563773]","[0.028834059834480286, 0.01194830797612667, 0.016943516209721565]","[0.018946484377973024, 0.011065866334542306, 0.014896605424078791]",artifact:ridge_1q_256.npz,0.010447130967621064
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,10,0.04127220507655318,0.002823182867426816,"[-0.1443486511707306, -0.026224704459309578, -0.029901379719376564]","[-0.03930886339182164, -0.037688948987784285, -0.022588796797100692]","[0.024613160640001297, 0.00042615956044755876, 0.015833497047424316]","[0.022685485753381265, 0.0, 0.009717782892211459]",artifact:ridge_1q_256.npz,0.003006836861501938
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,11,0.02001769420544644,0.006178937348693705,"[0.08913107961416245, 0.0703844204545021, -0.0020047093275934458]","[0.07996273763912655, 0.032130867923536, 0.01062647878274387]","[0.01731712371110916, 0.00916842371225357, 0.02098056674003601]","[0.008955018501395925, 0.016726531116753648, 0.02359716617190381]",artifact:ridge_1q_256.npz,0.015061807069936088
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,12,0.026100606270088367,0.004406134511125106,"[-0.07123204320669174, -0.009697318077087402, 0.06888682395219803]","[-0.046021058902458174, 0.006130284354562239, 0.031623591877816146]","[0.009333210997283459, 0.0031967470422387123, 0.008154882118105888]","[0.012543395924686021, 0.009558784963638153, 0.011801062802679202]",artifact:ridge_1q_256.npz,0.026814562899595606
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,13,0.026341185097986868,0.0038473520027028966,"[-0.0197121724486351, 0.09012439846992493, 0.06889818608760834]","[0.02699968710155413, 0.07996052957258164, 0.04675035924118027]","[0.024312429130077362, 0.014123483560979366, 0.02349127270281315]","[0.015695072990129764, 0.014278116744318767, 0.020721206017991458]",artifact:ridge_1q_256.npz,0.019215015704641958
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,14,0.007569049986463581,0.007280326405822647,"[0.142153799533844, 0.05170292779803276, 0.14070388674736023]","[0.15, 0.04613809155743778, 0.15]","[0.01105189323425293, 0.021697452291846275, 0.016132334247231483]","[0.015845187012528177, 0.009956148744654655, 0.010825952355230407]",artifact:ridge_1q_256.npz,0.00890573447661536
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,15,0.02986426941383175,0.00652918358501241,"[-0.0103757930919528, 0.030295979231595993, -0.06337787955999374]","[0.02566010461516909, 0.06404947962901139, -0.08318128969695171]","[0.020799953490495682, 0.008847486227750778, 3.3287080441368744e-05]","[0.011964233050732785, 0.006279117931285539, 0.008216749099250461]",artifact:ridge_1q_256.npz,0.0022870825034084566
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,16,0.01892131903033174,0.0019935678507617496,"[-0.056346505880355835, 0.056227412074804306, 0.06712935119867325]","[-0.03523357426127347, 0.031059940232989688, 0.07761290482877148]","[0.027299625799059868, 0.02526429295539856, 0.018337823450565338]","[0.02651830355167572, 0.03, 0.017874149190265677]",artifact:ridge_1q_256.npz,0.029867491688308597
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,17,0.020994459089392025,0.008959208133852727,"[-0.003888489445671439, -0.06781047582626343, 0.004636568017303944]","[-0.025505484072503498, -0.058168360316868575, -0.027087699114645217]","[0.014441083185374737, 0.002480483613908291, 0.02830865979194641]","[0.015504296625206491, 0.020566335061909954, 0.020580100278221648]",artifact:ridge_1q_256.npz,0.0011640823684807393
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,18,0.011502336302215177,0.00141434339977713,"[-0.0418509915471077, 0.10850781947374344, 0.02955208532512188]","[-0.04880825167909288, 0.12323034419442946, 0.042379309379096196]","[0.007168645039200783, 0.0036323501262813807, 0.00848710723221302]","[0.006351664159460856, 0.006270272757300837, 0.009275233920785027]",artifact:ridge_1q_256.npz,0.009670274813413073
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,19,0.016790146939274535,0.0044536128206650065,"[-0.12216643244028091, -0.09369712322950363, -0.12685337662696838]","[-0.09973663586965645, -0.11798648407381955, -0.12320209322408517]","[0.010181180201470852, 0.003944745287299156, 0.003761446801945567]","[0.013994741670490413, 0.0, 0.00936397850762187]",artifact:ridge_1q_256.npz,0.0038965183998321898
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,20,0.028311497078354998,0.006583776208186919,"[-0.07224980741739273, -0.09923415631055832, -0.14120511710643768]","[-0.1002337350037765, -0.04467194446648504, -0.14359346891104563]","[0.027806945145130157, 0.014365695416927338, 0.012059028260409832]","[0.01929153366120311, 0.018942402390511016, 0.01871823842745986]",artifact:ridge_1q_256.npz,0.02387098873309611
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,21,0.043492170375252014,0.006526602356450222,"[0.14071431756019592, 0.10374618321657181, -0.012346348725259304]","[0.13222497406191658, 0.02000298452820564, -0.050590317664369826]","[0.0032267642673105, 0.009947745129466057, 0.02709316648542881]","[0.010871180539231669, 0.015248865467444856, 0.020458896025978113]",artifact:ridge_1q_256.npz,0.010598519992798767
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,22,0.028140157581033897,0.008146482142787277,"[0.07119873911142349, 0.08857583999633789, -0.07948174327611923]","[0.08898365492762003, 0.07712702135728931, -0.024295004988262654]","[0.022620752453804016, 0.00374408345669508, 0.027954408898949623]","[0.01783635420402562, 0.01781183028387816, 0.022367107547549267]",artifact:ridge_1q_256.npz,0.006826029385099677
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,23,0.044862810115574615,0.003668510130226739,"[0.01584063097834587, 0.1315893977880478, -0.06626284122467041]","[0.10544468880143851, 0.15, -0.0396890709129914]","[0.0019520538626238704, 0.0014316857559606433, 0.01709967479109764]","[0.0028880156366808338, 0.009406061112638461, 0.019194868051043076]",artifact:ridge_1q_256.npz,0.013516180191517742
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,24,0.03968882179979747,0.0018759049874273379,"[0.03840716928243637, -0.08531752228736877, -0.11891113966703415]","[0.09857240207335531, -0.050075173494679756, -0.0952522558512497]","[0.010599317029118538, 0.02717440575361252, 0.02948351576924324]","[0.005722076707530877, 0.027408396163550112, 0.03]",artifact:ridge_1q_256.npz,0.017719882074064476
synthetic_ground_truth,1q,ridge,classical_cpu,evaluated,artifacts/datasets/1q_mixed_channel_test.npz,25,0.02716995480462138,0.006401259216270487,"[0.14456497132778168, 0.09328553825616837, -0.009127416647970676]","[0.10638551423956796, 0.10671067193423595, 0.02077785699961217]","[0.007041264325380325, 0.016446428373456, 0.007087786681950092]","[0.014020252861809999, 0.011862123822039852, 0.014728271242915732]",artifact:ridge_1q_256.npz,0.0205923343627962
