family,model,feature_regime,parameter_mae,parameter_rmse
1q,QNN-exact,exact,0.037736812528084245,0.05842557317991408
1q,QNN-exact,4096-shot,0.038298211161585084,0.05917676457605347
1q,QNN-exact,1024-shot,0.03814227759167375,0.0595396787087261
1q,QNN-exact,256-shot,0.039396828042893836,0.06115543079868252
1q,QNN-shot-robust,exact,0.038498678815827476,0.06086944135029263
1q,QNN-shot-robust,4096-shot,0.03777733629407455,0.058569814531850686
1q,QNN-shot-robust,1024-shot,0.03786794739050838,0.05862791353572217
1q,QNN-shot-robust,256-shot,0.03886310292245681,0.06051397159704629
1q,MLP-exact,exact,0.023087250659840446,0.03488326246943816
1q,MLP-exact,4096-shot,0.030371856315968424,0.04862608128155084
1q,MLP-exact,1024-shot,0.03716966739981859,0.06248208913907206
1q,MLP-exact,256-shot,0.050374316514987506,0.0847688747026593
1q,MLP-shot-robust,exact,0.023038811349546797,0.034729223437474414
1q,MLP-shot-robust,4096-shot,0.023196358748651606,0.035035942154578247
1q,MLP-shot-robust,1024-shot,0.02357928040495899,0.03596471648109619
1q,MLP-shot-robust,256-shot,0.024471035593597836,0.03892054376577584
2q,QNN-exact,exact,0.044752707283742255,0.06755066650085687
2q,QNN-exact,4096-shot,0.04330614292360985,0.06592824703718882
2q,QNN-exact,1024-shot,0.043487403587826844,0.06787310774528518
2q,QNN-exact,256-shot,0.04658918325244186,0.07077476865029922
2q,QNN-shot-robust,exact,0.04629609889317812,0.0691349059774679
2q,QNN-shot-robust,4096-shot,0.04467734668596026,0.06702658916785253
2q,QNN-shot-robust,1024-shot,0.04587052075574685,0.06930634963026894
2q,QNN-shot-robust,256-shot,0.047060639742367454,0.07062136001549414
2q,MLP-exact,exact,0.037242415422984586,0.057797902074589555
2q,MLP-exact,4096-shot,0.060722619995925264,0.09829625513520701
2q,MLP-exact,1024-shot,0.060859765518250175,0.09892550962773594
2q,MLP-exact,256-shot,0.07100892411451937,0.11390470457387752
2q,MLP-shot-robust,exact,0.03830399604177398,0.05938029473285353
2q,MLP-shot-robust,4096-shot,0.03839200710052361,0.05940689314142635
2q,MLP-shot-robust,1024-shot,0.0383752942388607,0.05947639334157215
2q,MLP-shot-robust,256-shot,0.03896377348284968,0.059853241211666616
